Back squats:5:5,Bent over rows:5:5,Flat Barbell Press:5:5,Push press:5:5,Skull crushers:3:10,Lateral Raise:3:10,Seated Calf Raise:3:10,
Deadlifts:5:5,Pull-ups:5:5,Incline Press:5:5,Overhead Press:5:5,Barbell Curls:3:10,Bent over reverse flys:3:10,Standing Calf Raises:3:10,
Front squats:5:5,Bent over V-grip row:5:5,Dips:5:5,Single arm DB shoulder press:5:5,Single arm french press:3:10,Front raises:3:10,
