Back squats:Bent over rows:Flat Barbell Press,Push press:Skull crushers:Lateral Raise
Deadlifts:Pull-ups:Incline Press:Overhead Press:Barbell Curls:Bent over reverse flys:Standing Calf Raises
Front squats:Bent over V-grip row:Dips:Single arm DB shoulder press:Single arm french press:Front raises:Seated calf raises
